status,url,category_code,category_description,date_added,source,notes
Err,https://hka8964.wordpress.com/,HUMR,Human Rights Issues,2019-07-10,OONI partner,webpage closedown due to its politically sensitive topicn. Not blocked at the moment - monitor
Err,https://www.amnesty.org.hk/,HUMR,Human Rights Issues,2019-07-10,OONI partner,Service stopped. Not blocked. Monitor. Amnesty International has left Hong Kong due to political pressure https://www.amnesty.org/en/latest/news/2022/05/amnesty-international-has-left-hong-kong-but-there-will-still-be-candles-in-the-darkness/
Err,https://www.hkcro.org/,HUMR,Human Rights Issues,2019-07-10,OONI partner,Service stopped - Hong Kong Citizen Rights Organization terminated its operation due to political environment change. Monitor
ARV,https://www.hrw.org/zh-hant/tag/hong-kong/,HUMR,Human Rights Issues,2022-07-15,Netalitica,
ARV,https://www.plan.org.hk/,HUMR,Human Rights Issues,2022-07-15,Netalitica,
ARV,https://www.adhrrf.org/,HUMR,Human Rights Issues,2022-08-12,Netalitica,
ARV,https://sscem.org/,HUMR,Human Rights Issues,2020-07-09,Netalitica,
Err,http://leslovestudy.com/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,http://www.lescorner.org/,LGBT,LGBT,2020-07-07,Netalitica,
Err,http://www.qs.org.hk/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,http://www.rainbowhk.org/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,http://www.tlghk.org/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,https://hongkonggaymovement.weebly.com/,LGBT,LGBT,2020-07-07,Netalitica,
Err,https://pinkalliance.hk/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,https://sogayhk01.wordpress.com/,LGBT,LGBT,2020-07-07,Netalitica,
Err,https://www.gayhk.com/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,https://www.hkgala.com/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,https://www.hklgbtmedicalsociety.org/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,https://www.tgr.org.hk/index.php/zh/,LGBT,LGBT,2020-07-07,Netalitica,
ARV,http://kwankaiman.blogspot.com/,LGBT,LGBT,2020-07-09,Netalitica,
ARV,https://www.newcreationhk.org/,LGBT,LGBT,2020-07-09,Netalitica,
ARV,http://biglovealliance.org/,LGBT,LGBT,2020-07-19,Netalitica,
ARV,https://weareher.com/about/,LGBT,LGBT,2020-07-20,Netalitica,
